base,count,total_bases,percentage,avg_segment_length,mean_signal,min_signal,max_signal,std_signal
A,185693,833835,22.269753608327786,13.788144948921069,709.98016,341.0,1172.0,115.95853
T,197691,833835,23.70864739426865,10.990636903045662,771.8567,327.0,1186.0,111.84356
G,223918,833835,26.853993895674805,13.941710804848203,734.4005,272.0,1203.0,121.90308
C,226533,833835,27.16760510172876,12.966004952920766,758.64105,359.0,1177.0,101.905495
